RNA GC1,RNA GC2,RNA GC3,RNA GC4,RNA GC5,RNA Soma1,RNA Soma2,RNA Soma3,RNA Soma4,RNA Soma5,Protein GC1,Protein GC2,Protein GC4,Protein GC5,Protein Soma1,Protein Soma2,Protein Soma3,Protein Soma4,Protein Soma5,Protein Soma6,GC [RNA] mean,Soma [RNA] mean,RNA GC/Soma,GC [Protein] mean,Soma [Protein] mean,Protein GC/Soma,RNA GC vs Soma Significant 5% FDR,Protein GC vs Soma significant 5% FDR,GOBP name,GOMF name,GOCC name,RNA deviation (SEM) GC,RNA deviation (SEM) Soma,Protein deviation (SEM) Soma,Prot dev (SEM) GC,Mol. weight [kDa],Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers,ENSG
0.4765369,1.631996,2.177649,2.44505,1.157013,4.273381,4.059799,3.981349,4.902451,4.318329,-4.993882,-3.752782,NaN,NaN,0.2171824,-5.135469,0.3434587,NaN,NaN,NaN,1.57764898,4.3070618,-2.72941282,-4.373332,-1.524942633,-2.848389367,+,,biological regulation;cell differentiation;cellular developmental process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;cellular response to heat;cellular response to stimulus;cellular response to stress;circadian rhythm;CRD-mediated mRNA stabilization;developmental process;macromolecule metabolic process;metabolic process;mRNA metabolic process;mRNA stabilization;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;osteoblast differentiation;posttranscriptional regulation of gene expression;primary metabolic process;regulation of biological process;regulation of cellular metabolic process;regulation of cellular process;regulation of gene expression;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of mRNA stability;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of primary metabolic process;regulation of RNA metabolic process;regulation of RNA stability;response to abiotic stimulus;response to heat;response to stimulus;response to stress;response to temperature stimulus;rhythmic process;RNA metabolic process;RNA processing;RNA stabilization,"nucleotide binding;adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;ATPase activity;ATPase activity, coupled;ATP-dependent helicase activity;ATP-dependent RNA helicase activity;binding;catalytic activity;helicase activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;nucleoside-triphosphatase activity;protein binding;purine NTP-dependent helicase activity;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;pyrophosphatase activity;ribonucleotide binding;RNA helicase activity;RNA polymerase II transcription factor binding;RNA-dependent ATPase activity;transcription factor binding",cell part;centrosome;CRD-mediated mRNA stability complex;cytoplasm;cytoplasmic part;cytoskeletal part;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane-bounded organelle;microtubule organizing center;non-membrane-bounded organelle;nuclear part;nucleolus;nucleoplasm;nucleus;organelle;organelle part;protein complex;ribonucleoprotein complex,0.353887022,0.161706105,1.805631161,0.620550036,149.62,A0A087WPL5;E9QNN1;O70133;Q3UR42,A0A087WPL5;E9QNN1;O70133,ATP-dependent RNA helicase A,Dhx9,>tr|A0A087WPL5|A0A087WPL5_MOUSE ATP-dependent RNA helicase A OS=Mus musculus GN=Dhx9 PE=1 SV=1;>tr|E9QNN1|E9QNN1_MOUSE ATP-dependent RNA helicase A OS=Mus musculus GN=Dhx9 PE=1 SV=1;>sp|O70133|DHX9_MOUSE ATP-dependent RNA helicase A OS=Mus musculus GN=Dhx9,ENSMUSG00000042699
1.513917,1.998572,3.592903,2.002731,2.919677,3.670251,3.432194,3.208441,2.719934,3.369865,-4.85574,-4.531005,NaN,NaN,NaN,0.6082461,-0.04940052,-1.02959,0.9230209,-1.422922,2.40556,3.280137,-0.874577,-4.6933725,-0.194129104,-4.499243396,,+,binding of sperm to zona pellucida;cell recognition;cell-cell recognition;cellular process;cellular process involved in reproduction;reproductive process;sperm-egg recognition,,Ada2/Gcn5/Ada3 transcription activator complex;cell part;histone acetyltransferase complex;intracellular organelle part;intracellular part;macromolecular complex;nuclear part;nucleoplasm part;organelle part;PcG protein complex;protein complex,0.373967707,0.158481702,0.453910977,0.162367582,116.8,Q80X50;A0A0H2UH17;A0A0G2JDV6;A0A0G2JE24;A0A0G2JDT1;A0A0G2JGD0;A0A0G2JG47;A0A0G2JFN7;A0A0G2JEC6,Q80X50;A0A0H2UH17;A0A0G2JDV6,Ubiquitin-associated protein 2-like,Ubap2l,">sp|Q80X50|UBP2L_MOUSE Ubiquitin-associated protein 2-like OS=Mus musculus GN=Ubap2l PE=1 SV=1;>tr|A0A0H2UH17|A0A0H2UH17_MOUSE Ubiquitin associated protein 2-like, isoform CRA_b OS=Mus musculus GN=Ubap2l PE=4 SV=1;>tr|A0A0G2JDV6|A0A0G2JDV6_MOUSE Ubiquitin",ENSMUSG00000042520
-4.018571,NaN,2.09407,1.25612,1.153802,3.255597,2.984492,3.18318,2.874342,3.307847,-4.147626,-5.09402,NaN,NaN,-1.787255,-0.01944235,-0.6012498,-0.2186695,-1.108397,0.06269076,0.12135525,3.1210916,-2.99973635,-4.620823,-0.612053815,-4.008769185,,+,"nucleobase-containing compound metabolic process;ATP-dependent chromatin remodeling;biosynthetic process;cellular biosynthetic process;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;chromatin modification;chromatin organization;chromatin remodeling;chromosome organization;macromolecule biosynthetic process;macromolecule metabolic process;metabolic process;nitrogen compound metabolic process;nucleic acid metabolic process;organelle organization;primary metabolic process;RNA biosynthetic process;RNA metabolic process;transcription, DNA-dependent",binding;cation binding;core promoter proximal region DNA binding;core promoter proximal region sequence-specific DNA binding;DNA binding;enhancer binding;enhancer sequence-specific DNA binding;ion binding;metal ion binding;nucleic acid binding;nucleic acid binding transcription factor activity;regulatory region DNA binding;regulatory region nucleic acid binding;RNA polymerase II core promoter proximal region sequence-specific DNA binding;RNA polymerase II distal enhancer sequence-specific DNA binding;RNA polymerase II regulatory region DNA binding;RNA polymerase II regulatory region sequence-specific DNA binding;sequence-specific DNA binding;sequence-specific DNA binding transcription factor activity;transcription regulatory region DNA binding;transcription regulatory region sequence-specific DNA binding;transition metal ion binding;zinc ion binding,cell part;chromatin;chromosomal part;intracellular organelle part;intracellular part;macromolecular complex;nuclear body;nuclear chromatin;nuclear chromosome part;nuclear part;nuclear speck;nucleoplasm;nucleoplasm part;organelle part;protein complex,1.395953298,0.082573943,0.293756753,0.473196983,63.638,A1L3S7;Q8VHR5,A1L3S7;Q8VHR5,Transcriptional repressor p66-beta,Gatad2b,>tr|A1L3S7|A1L3S7_MOUSE Gatad2b protein OS=Mus musculus GN=Gatad2b PE=1 SV=1;>sp|Q8VHR5|P66B_MOUSE Transcriptional repressor p66-beta OS=Mus musculus GN=Gatad2b PE=1 SV=1,ENSMUSG00000042390
2.792891,2.871995,3.549262,2.924032,4.077148,4.615158,4.240037,4.748281,4.412494,4.844556,-4.460239,-4.346418,NaN,NaN,-1.403195,-0.3154244,0.4615801,0.1118235,-0.3135809,0.4947775,3.2430656,4.5721052,-1.3290396,-4.4033285,-0.160669867,-4.242658633,+,+,biological regulation;cellular macromolecule metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;macromolecule metabolic process;metabolic process;mRNA metabolic process;mRNA processing;nitrogen compound metabolic process;nucleic acid metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;regulation of biological process;regulation of cellular metabolic process;regulation of cellular process;regulation of gene expression;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of primary metabolic process;regulation of RNA metabolic process;regulation of RNA splicing;RNA metabolic process;RNA processing;RNA splicing,binding;nucleic acid binding;nucleotide binding;RNA binding;single-stranded RNA binding,catalytic step 2 spliceosome;cell part;intracellular organelle part;intracellular part;macromolecular complex;membrane;nuclear part;nucleoplasm;organelle part;ribonucleoprotein complex;spliceosomal complex,0.248151436,0.110196598,0.287649006,0.056910515,45.729,Q9Z2X1;J3QM80;J3QMT0;J3QP45;J3QMV8;J3QNH2,Q9Z2X1;J3QM80;J3QMT0,"Heterogeneous nuclear ribonucleoprotein F;Heterogeneous nuclear ribonucleoprotein F, N-terminally processed",Hnrnpf,>sp|Q9Z2X1|HNRPF_MOUSE Heterogeneous nuclear ribonucleoprotein F OS=Mus musculus GN=Hnrnpf PE=1 SV=3;>tr|J3QM80|J3QM80_MOUSE Heterogeneous nuclear ribonucleoprotein F (Fragment) OS=Mus musculus GN=Hnrnpf PE=1 SV=5;>tr|J3QMT0|J3QMT0_MOUSE Heterogeneous nucl,ENSMUSG00000042079
5.696434,4.616229,6.650763,5.207144,6.743636,4.809852,4.514389,5.176039,6.108737,5.721794,-4.403964,NaN,NaN,-1.001234,-2.026141,-0.5137786,-1.480511,0.9872484,NaN,2.754683,5.7828412,5.2661622,0.516679,-2.702599,-0.05569984,-2.64689916,,,cellular component assembly;cellular component assembly at cellular level;cellular component organization;cellular component organization at cellular level;cellular component organization or biogenesis;cellular component organization or biogenesis at cellular level;cellular macromolecular complex assembly;cellular macromolecular complex subunit organization;cellular process;cellular protein complex assembly;macromolecular complex assembly;macromolecular complex subunit organization;protein complex assembly;protein complex subunit organization;tubulin complex assembly,,cell part;cytoplasm;cytoskeletal part;cytoskeleton;extracellular membrane-bounded organelle;extracellular organelle;extracellular region part;extracellular vesicular exosome;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane-bounded organelle;membrane-bounded vesicle;microtubule;microtubule cytoskeleton;non-membrane-bounded organelle;nuclear part;nucleolus;organelle;organelle part;protein complex;vesicle,0.410870582,0.291464984,0.86915344,1.701364994,12.758,P48428,P48428,Tubulin-specific chaperone A,Tbca,>sp|P48428|TBCA_MOUSE Tubulin-specific chaperone A OS=Mus musculus GN=Tbca PE=1 SV=3,ENSMUSG00000042043
-2.783805,-1.711215,-1.425915,-0.4446117,0.3093432,-0.3049384,1.063329,-1.000362,2.998126,-1.288359,NaN,2.15859,3.180911,2.100659,1.266922,-4.675651,-3.584716,NaN,NaN,NaN,-1.2112407,0.29355912,-1.50479982,2.480053333,-2.331148333,4.811201667,+,,acetyl-CoA metabolic process;anatomical structure homeostasis;biological regulation;biosynthetic process;carboxylic acid biosynthetic process;carboxylic acid metabolic process;cellular biosynthetic process;cellular component assembly;cellular component organization;cellular component organization or biogenesis;cellular ketone metabolic process;cellular lipid metabolic process;cellular metabolic process;cellular process;cellular response to chemical stimulus;cellular response to endogenous stimulus;cellular response to hormone stimulus;cellular response to lipid;cellular response to organic substance;cellular response to prostaglandin E stimulus;cellular response to prostaglandin stimulus;cellular response to stimulus;chemical homeostasis;coenzyme metabolic process;cofactor metabolic process;fatty acid biosynthetic process;fatty acid metabolic process;homeostatic process;lipid biosynthetic process;lipid homeostasis;lipid metabolic process;macromolecular complex assembly;macromolecular complex subunit organization;macromolecule metabolic process;metabolic process;monocarboxylic acid metabolic process;multicellular organismal macromolecule metabolic process;multicellular organismal metabolic process;multicellular organismal process;multicellular organismal protein metabolic process;negative regulation of biological process;negative regulation of cellular metabolic process;negative regulation of cellular process;negative regulation of fatty acid metabolic process;negative regulation of fatty acid oxidation;negative regulation of lipid metabolic process;negative regulation of metabolic process;organic acid biosynthetic process;organic acid metabolic process;oxoacid metabolic process;positive regulation of biological process;positive regulation of developmental growth;positive regulation of developmental process;positive regulation of growth;positive regulation of heart growth;positive regulation of lipid storage;positive regulation of organ growth;primary metabolic process;protein complex assembly;protein complex subunit organization;protein homooligomerization;protein homotetramerization;protein metabolic process;protein oligomerization;protein tetramerization;regulation of biological process;regulation of biological quality;regulation of cellular ketone metabolic process;regulation of cellular metabolic process;regulation of cellular process;regulation of developmental growth;regulation of developmental process;regulation of fatty acid metabolic process;regulation of fatty acid oxidation;regulation of growth;regulation of heart growth;regulation of lipid metabolic process;regulation of lipid storage;regulation of localization;regulation of metabolic process;regulation of multicellular organismal development;regulation of multicellular organismal process;regulation of organ growth;regulation of primary metabolic process;response to chemical stimulus;response to drug;response to endogenous stimulus;response to hormone stimulus;response to lipid;response to organic cyclic compound;response to organic substance;response to prostaglandin E stimulus;response to prostaglandin stimulus;response to stimulus;small molecule biosynthetic process;small molecule metabolic process;tissue homeostasis,"nucleotide binding;acetyl-CoA carboxylase activity;adenyl nucleotide binding;adenyl ribonucleotide binding;ATP binding;binding;biotin binding;biotin carboxylase activity;carboxylic acid binding;catalytic activity;cation binding;CoA carboxylase activity;ion binding;ligase activity;ligase activity, forming carbon-carbon bonds;ligase activity, forming carbon-nitrogen bonds;metal ion binding;monocarboxylic acid binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;ribonucleotide binding;vitamin binding",actin cytoskeleton;cell part;cytoplasm;cytoplasmic part;cytoskeleton;cytosol;endomembrane system;extracellular membrane-bounded organelle;extracellular organelle;extracellular region part;extracellular vesicular exosome;intracellular membrane-bounded organelle;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;membrane;membrane-bounded organelle;membrane-bounded vesicle;mitochondrion;non-membrane-bounded organelle;nuclear part;nucleolus;nucleus;organelle;organelle part;vesicle,0.376624182,0.540211126,1.826391459,0.350827664,265.25,Q5SWU9;E9Q4Z2,Q5SWU9;E9Q4Z2,Acetyl-CoA carboxylase 1;Biotin carboxylase;Acetyl-CoA carboxylase 2;Biotin carboxylase,Acaca;Acacb,>sp|Q5SWU9|ACACA_MOUSE Acetyl-CoA carboxylase 1 OS=Mus musculus GN=Acaca PE=1 SV=1;>sp|E9Q4Z2|ACACB_MOUSE Acetyl-CoA carboxylase 2 OS=Mus musculus GN=Acacb PE=1 SV=1,ENSMUSG00000042010;ENSMUSG00000020532
3.084861,NaN,0.7581061,NaN,3.513783,2.223762,2.070121,1.999815,-2.452673,1.973992,-5.636173,-3.793727,NaN,NaN,-3.878595,-1.580707,NaN,NaN,NaN,0.3046546,2.452250033,1.1630034,1.289246633,-4.71495,-1.7182158,-2.9967342,,,ATP synthesis coupled electron transport;cellular metabolic process;cellular process;electron transport chain;generation of precursor metabolites and energy;metabolic process;oxidation-reduction process;respiratory electron transport chain,"catalytic activity;NADH dehydrogenase (quinone) activity;NADH dehydrogenase (ubiquinone) activity;NADH dehydrogenase activity;oxidoreductase activity;oxidoreductase activity, acting on NADH or NADPH;oxidoreductase activity, acting on NADH or NADPH, quinone or similar compound as acceptor",cell part;cytoplasmic part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane part;membrane-bounded organelle;mitochondrial membrane part;mitochondrial part;mitochondrial respiratory chain complex I;mitochondrion;NADH dehydrogenase complex;organelle;organelle part;protein complex;respiratory chain complex I,0.856073618,0.90496254,1.209555864,0.921222925,12.575,Q9Z1P6,Q9Z1P6,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7,Ndufa7,>sp|Q9Z1P6|NDUA7_MOUSE NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Mus musculus GN=Ndufa7 PE=1 SV=3,ENSMUSG00000041881
-0.8853221,0.440636,1.268085,NaN,1.172063,2.273858,2.295621,1.897313,1.8338,1.401059,-6.412392,NaN,NaN,-3.799078,NaN,0.6154743,-0.5032529,0.1810765,1.09918,0.9239253,0.498865475,1.9403302,-1.441464725,-5.105735,0.46328064,-5.56901564,,+,biological regulation;establishment of localization;establishment of localization in cell;establishment of RNA localization;intracellular transport;mRNA export from nucleus;mRNA transport;nuclear export;nuclear transport;nucleic acid transport;nucleobase-containing compound transport;nucleocytoplasmic transport;poly(A)+ mRNA export from nucleus;positive regulation of biological process;positive regulation of biosynthetic process;positive regulation of cellular biosynthetic process;positive regulation of cellular metabolic process;positive regulation of cellular process;positive regulation of cellular protein metabolic process;positive regulation of macromolecule biosynthetic process;positive regulation of macromolecule metabolic process;positive regulation of metabolic process;positive regulation of protein metabolic process;positive regulation of translation;posttranscriptional regulation of gene expression;regulation of biological process;regulation of biosynthetic process;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of cellular protein metabolic process;regulation of gene expression;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of primary metabolic process;regulation of protein metabolic process;regulation of translation;RNA export from nucleus;RNA transport;transport,binding;nucleotide binding,cell part;cytoplasm;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;membrane-bounded organelle;nuclear body;nuclear part;nuclear speck;nucleoplasm;nucleoplasm part;organelle;organelle part,0.497012705,0.164542526,0.287537009,1.306657076,42.935,Q3UDD3;Q8BG81;F6VR84,Q3UDD3;Q8BG81;F6VR84,Polymerase delta-interacting protein 3,Poldip3,>tr|Q3UDD3|Q3UDD3_MOUSE Polymerase delta-interacting protein 3 OS=Mus musculus GN=Poldip3 PE=1 SV=1;>sp|Q8BG81|PDIP3_MOUSE Polymerase delta-interacting protein 3 OS=Mus musculus GN=Poldip3 PE=1 SV=1;>tr|F6VR84|F6VR84_MOUSE Polymerase delta-interacting prot,ENSMUSG00000041815
5.813418,4.749871,5.836536,4.751108,4.674773,5.96707,5.190207,4.946703,2.124018,6.351226,-4.884684,-1.399017,NaN,NaN,-4.272342,NaN,0.5453514,0.6317416,NaN,NaN,5.1651412,4.9158448,0.2492964,-3.1418505,-1.031749667,-2.110100833,,,,"catalytic activity;cation transmembrane transporter activity;cytochrome-c oxidase activity;heme-copper terminal oxidase activity;hydrogen ion transmembrane transporter activity;inorganic cation transmembrane transporter activity;ion transmembrane transporter activity;monovalent inorganic cation transmembrane transporter activity;oxidoreductase activity;oxidoreductase activity, acting on a heme group of donors;oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;transmembrane transporter activity;transporter activity",cell part;cytoplasmic part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;macromolecular complex;membrane part;membrane-bounded organelle;mitochondrial membrane part;mitochondrial part;mitochondrial respiratory chain complex IV;mitochondrion;organelle;organelle part;protein complex;respiratory chain complex IV,0.269756109,0.742829621,1.620488167,1.742833614,12.483,Q9DCW5;P43024,Q9DCW5;P43024,"Cytochrome c oxidase subunit 6A, mitochondrial;Cytochrome c oxidase subunit 6A1, mitochondrial",Cox6a1,">tr|Q9DCW5|Q9DCW5_MOUSE Cytochrome c oxidase subunit 6A, mitochondrial OS=Mus musculus GN=Cox6a1 PE=1 SV=1;>sp|P43024|CX6A1_MOUSE Cytochrome c oxidase subunit 6A1, mitochondrial OS=Mus musculus GN=Cox6a1 PE=1 SV=2",ENSMUSG00000041697
3.292343,2.343897,2.673584,2.269657,3.663168,3.817646,3.666151,3.926994,4.415982,3.892837,-4.796202,NaN,-5.507631,NaN,1.894487,0.1406781,2.563838,1.754488,0.5531429,1.734184,2.8485298,3.943922,-1.0953922,-5.1519165,1.440136333,-6.592052833,+,+,"regulation of protein phosphorylation;3'-UTR-mediated mRNA stabilization;biological regulation;cellular component organization;cellular component organization or biogenesis;cellular macromolecule metabolic process;cellular membrane organization;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;interaction with symbiont;interspecies interaction between organisms;macromolecule metabolic process;membrane organization;metabolic process;modification by host of symbiont morphology or physiology;modification of morphology or physiology of other organism;modification of morphology or physiology of other organism involved in symbiotic interaction;modulation by host of symbiont transcription;modulation by host of viral transcription;modulation of transcription in other organism involved in symbiotic interaction;mRNA metabolic process;mRNA processing;mRNA stabilization;multi-organism process;negative regulation by host of viral transcription;negative regulation of biological process;negative regulation of biosynthetic process;negative regulation of cellular biosynthetic process;negative regulation of cellular metabolic process;negative regulation of cellular process;negative regulation of cellular protein metabolic process;negative regulation of gene expression;negative regulation of macromolecule metabolic process;negative regulation of metabolic process;negative regulation of nitrogen compound metabolic process;negative regulation of nucleobase-containing compound metabolic process;negative regulation of phosphate metabolic process;negative regulation of phosphorus metabolic process;negative regulation of phosphorylation;negative regulation of protein metabolic process;negative regulation of protein modification process;negative regulation of protein phosphorylation;negative regulation of reproductive process;negative regulation of RNA metabolic process;negative regulation of viral transcription;nitrogen compound metabolic process;nuclear fragmentation involved in apoptotic nuclear change;nuclear inner membrane organization;nuclear membrane organization;nucleic acid metabolic process;nucleobase-containing compound metabolic process;positive regulation of biological process;positive regulation of biosynthetic process;positive regulation of cellular biosynthetic process;positive regulation of cellular metabolic process;positive regulation of cellular process;positive regulation of gene expression;positive regulation of macromolecule biosynthetic process;positive regulation of macromolecule metabolic process;positive regulation of metabolic process;positive regulation of nitrogen compound metabolic process;positive regulation of nucleobase-containing compound metabolic process;positive regulation of RNA metabolic process;positive regulation of transcription from RNA polymerase II promoter;positive regulation of transcription, DNA-dependent;positive regulation of viral reproduction;posttranscriptional regulation of gene expression;primary metabolic process;regulation of biological process;regulation of biological quality;regulation of biosynthetic process;regulation of cell cycle;regulation of cellular biosynthetic process;regulation of cellular macromolecule biosynthetic process;regulation of cellular metabolic process;regulation of cellular process;regulation of cellular protein metabolic process;regulation of gene expression;regulation of macromolecule biosynthetic process;regulation of macromolecule metabolic process;regulation of metabolic process;regulation of mRNA stability;regulation of nitrogen compound metabolic process;regulation of nucleobase-containing compound metabolic process;regulation of phosphate metabolic process;regulation of phosphorus metabolic process;regulation of phosphorylation;regulation of primary metabolic process;regulation of protein metabolic process;regulation of protein modification process;regulation of reproductive process;regulation of RNA metabolic process;regulation of RNA stability;regulation of transcription from RNA polymerase II promoter;regulation of transcription, DNA-dependent;regulation of viral reproduction;regulation of viral transcription;RNA metabolic process;RNA processing;RNA splicing;RNA stabilization",binding;DNA binding;double-stranded DNA binding;identical protein binding;mRNA 3'-UTR binding;mRNA binding;nucleic acid binding;nucleotide binding;protein binding;RNA binding;structure-specific DNA binding,cell part;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;membrane-bounded organelle;nuclear part;nucleoplasm;nucleus;organelle;organelle part,0.272117555,0.126261428,0.371024251,0.355714321,44.547,Q921F2;A0A087WRZ5;Q8R0B4;Q8BLD4;Q6VYI5;Q6VYI4;A0A087WR97;A0A087WSE4;A0A087WQA5;A0A087WRP4;H3BJV1;A0A087WSH7;A0A087WS74;A0A087WQX8;A0A087WNY6;A0A087WS17;A0A087WP57;A0A087WSC6,Q921F2;A0A087WRZ5;Q8R0B4;Q8BLD4;Q6VYI5;Q6VYI4;A0A087WR97;A0A087WSE4;A0A087WQA5,TAR DNA-binding protein 43,Tardbp,">sp|Q921F2|TADBP_MOUSE TAR DNA-binding protein 43 OS=Mus musculus GN=Tardbp PE=1 SV=1;>tr|A0A087WRZ5|A0A087WRZ5_MOUSE TAR DNA-binding protein 43 OS=Mus musculus GN=Tardbp PE=1 SV=1;>tr|Q8R0B4|Q8R0B4_MOUSE MCG16669, isoform CRA_a OS=Mus musculus GN=Tardbp P",ENSMUSG00000041459
5.67206,3.625751,6.205508,2.893493,6.4814,3.403781,3.658219,3.708607,0.640922,4.180237,NaN,-0.1149464,-0.3590922,NaN,-4.224483,NaN,0.6994475,1.236003,NaN,NaN,4.9756424,3.1183532,1.8572892,-0.2370193,-0.763010833,0.525991533,,,biosynthetic process;cellular biosynthetic process;cellular macromolecule biosynthetic process;cellular macromolecule metabolic process;cellular metabolic process;cellular process;cellular protein metabolic process;macromolecule biosynthetic process;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;translation,structural constituent of ribosome;structural molecule activity,cell part;cytoplasm;cytosolic large ribosomal subunit;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;large ribosomal subunit;macromolecular complex;membrane;non-membrane-bounded organelle;nuclear part;nucleolus;organelle;organelle part;ribonucleoprotein complex,0.72188735,0.631925046,1.737653136,0.122072898,18.579,Q9CQM8;O09167,Q9CQM8;O09167,60S ribosomal protein L21,Rpl21,>tr|Q9CQM8|Q9CQM8_MOUSE 60S ribosomal protein L21 OS=Mus musculus GN=Rpl21 PE=1 SV=1;>sp|O09167|RL21_MOUSE 60S ribosomal protein L21 OS=Mus musculus GN=Rpl21 PE=1 SV=3,ENSMUSG00000041453
3.633379,-0.981845,3.606528,NaN,2.851729,3.716572,3.141921,3.06514,1.681087,2.845634,-5.310103,NaN,NaN,-2.94428,-5.101073,NaN,NaN,-0.2686885,NaN,-0.03103319,2.27744775,2.8900708,-0.61262305,-4.1271915,-1.800264897,-2.326926603,,,,,,1.101430535,0.334723651,1.651829243,1.182911515,18.376,Q9D735,Q9D735,Uncharacterized protein C19orf43 homolog,,>sp|Q9D735|CS043_MOUSE Uncharacterized protein C19orf43 homolog OS=Mus musculus PE=1 SV=1,ENSMUSG00000041203
