Systema(c,Raw,Common,Genbank,Column5,Gene SymboDescrip(on,,
1436783_x_at,964.4066,Ywhab,AV021552,null,"Tyrosine 3?monooxygenase/tryptophan 5?monooxygenase ac(va(on protein, beta polypep(de",,
1438507_x_at,949.6671,Rpl14,AV110879,null,Ribosomal protein L14,,
1452679_at,939.3074,2410129E14Rik,AA986082,Tubb2b,"tubulin, beta 2b",,
1417285_a_at,932.214,2900002J19Rik,NM_026614,Ndufa5,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5",,
1416141_a_at,914.5299,MGC102571,NM_009096,Rps6,ribosomal protein S6,,
1454856_x_at,911.0841,9430070O13Rik,AV066335,Axdnd1,RIKEN cDNA 9430070O13 gene,,
1433510_x_at,910.4722,LOC622534,AV216370,null,Similar to ribosomal protein L36,,
1417317_s_at,905.6391,Rpl35,NM_021338,Rpl35a,ribosomal protein L35a,,
1415876_a_at,896.7786,Rps26,NM_013765,Rps26,ribosomal protein S26,,
1422241_a_at,857.5897,MWFE,NM_019443,Ndufa1,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1",,
1417058_a_at,845.209,Kcp2,NM_025327,Krtcap2,kera(nocyte associated protein 2,,
1423665_a_at,842.7548,Rpl5,BM114165,null,Ribosomal protein L5,,
1455348_x_at,834.5524,Rpl29,AA690930,null,Ribosomal protein L29,,
1416021_a_at,827.4377,Klbp,BC002008,Fabp5,"faVy acid binding protein 5, epidermal",,
1416276_a_at,802.0242,Rps4,NM_009094,Rps4x,"ribosomal protein S4, X?linked",,
1449323_a_at,792.8738,F2,NM_013762,Rpl3,ribosomal protein L3,,
1455911_x_at,791.1747,Ndua11,AV065861,Ndufb11,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11",,
1416420_a_at,786.0908,MGC102393,NM_011292,Rpl9,ribosomal protein L9,,
1433721_x_at,778.4431,Rps21,AV123577,null,Ribosomal protein S21,,
1418273_a_at,777.3165,MGC106425,NM_009083,Rpl30,ribosomal protein L30,,
1416056_a_at,774.4041,Np15,BC027265,Ndufb11,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11",,
1424635_at,761.7231,MGC7551,BC018223,Eef1a1,eukaryo(c transla(on elonga(on factor 1 alpha 1,,
1454993_a_at,759.22,Sfrs3,BB492363,Srsf3,"Splicing factor, arginine/serine?rich 3 (SRp20)",,
1460680_a_at,721.0502,2810009A01Rik,BC025918,Rpl23,ribosomal protein L23,,
1436506_a_at,717.0149,1110008H02Rik,AW988981,Snhg6,RIKEN cDNA 1110008H02 gene,,
1416054_at,698.1337,AA617411,NM_009095,Rps5,ribosomal protein S5,,
1460543_x_at,697.3414,Rpl37a,AV066985,null,Ribosomal protein L37a,,
1416520_x_at,678.33,Sumf1,NM_018730,Rpl36,ribosomal protein L36,,
1422156_a_at,675.2944,Llrep3,NM_008503,Rps2,ribosomal protein S2,,
1451068_s_at,672.1877,2810009D21Rik,BC027208,Rps25,ribosomal protein S25,,
1436902_x_at,668.1757,Tmsb10,BB096368,null,"Thymosin, beta 10",,
1415979_x_at,636.2366,Rpl7a,BC025909,Rpl7,ribosomal protein L7,,
1438626_x_at,635.4434,Rpl14,AV148464,null,Ribosomal protein L14,,
1434367_s_at,632.6946,Nub2,AV217767,Nutf2,Transcribed locus,,
1437144_x_at,624.6531,Psma6,AV100134,null,"AV100134 Mus musculus C57BL/6J ES cell Mus musculus cDNA clone 2410056M05, mRNA sequence.",,
1437005_a_at,622.1819,Rpl18,AU019414,null,Ribosomal protein L18,,
1434854_a_at,595.1186,Rps10,BB000887,null,Ribosomal protein S10,,
1448358_s_at,592.5913,SMG,NM_026506,Snrpg,small nuclear ribonucleoprotein polypep(de G,,
1439267_x_at,583.8889,Cox5a,AV085180,null,"Cytochrome c oxidase, subunit Va",,
1448770_a_at,582.7961,If1; Atpi,NM_007512,Atpif1,ATPase inhibitory factor 1,,
1434377_x_at,581.1099,Rps6,BE134127,null,Ribosomal protein S6,,
1429077_x_at,576.2301,L21,AK008457,Rpl21,ribosomal protein L21,,
1447679_s_at,571.9335,Bms1l,BB007109,Bms1,"BMS1?like, ribosome assembly protein (yeast)",,
1455001_x_at,570.6124,MGC107571,BF659630,Rpl13a,ribosomal protein L13a,,
1448217_a_at,561.4428,MGC103134,NM_011289,Rpl27,ribosomal protein L27,,
1437975_a_at,551.0331,Rpl23a,C87154,null,Ribosomal protein L23a,,
1452701_x_at,548.7164,Gm1863,BF237074,Uba52,ubiqui(n A?52 residue ribosomal protein fusion product 1,,
1422623_x_at,547.7604,1810055P16Rik,NM_018860,Rpl41,ribosomal protein L41,,
1438941_x_at,547.6486,Ipo7,AV330806,null,"AV330806 RIKEN full?length enriched, adult male medulla oblongata Mus musculus cDNA clone 6330517B15 3', mRNA sequence.",,
1436803_a_at,522.5478,Ndua9,AV161987,Ndufb9,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9",,
1435757_a_at,521.7777,4930408O21Rik,AV082188,Pdzd9,"AV082188 Mus musculus tongue C57BL/6J adult Mus musculus cDNA clone 2300003D04, mRNA sequence.",,
1448846_a_at,514.2378,Rpl43,NM_009082,Rpl29,ribosomal protein L29,,
1456642_x_at,513.6284,S100a10,AV295650,null,"AV295650 RIKEN full?length enriched, 8 days embryo cDNA clone 5730435N04 3' similar to M16465 Mouse calpac(n I light chain (p11)",,
1436064_x_at,512.7985,MGC107549,AV004977,Rps24,ribosomal protein S24,,
1436046_x_at,509.5502,Rpl43,AI893877,Rpl29,ribosomal protein L29,,
1433549_x_at,507.7915,Rps21,AV123618,null,Ribosomal protein S21,,
1433688_x_at,501.5188,L14,BE993872,Rpl14,ribosomal protein L14,,
1433786_x_at,462.0053,Serf2,AI596986,null,Small EDRK?rich factor 2,,
1456227_x_at,460.1658,Cpe,AV310432,null,Transcribed locus,,
1430123_a_at,458.661,Akr1a1,AK009462,Akr1a1,"aldo?keto reductase family 1, member A4 (aldehyde reductase)",,
1436949_a_at,451.9638,Tceb2,AV068352,Elob,"AV068352 Mus musculus small intes(ne C57BL/6J adult Mus musculus cDNA clone 2010303D07, mRNA sequence.",,
1416970_a_at,450.0997,COX7AL,NM_009945,Cox7a2,"cytochrome c oxidase, subunit VIIa 2",,
1459861_s_at,449.179,Fbxl10,AV221085,Kdm2b,"AV221085 RIKEN full?length enriched, 14, 17 days embryo head Mus musculus cDNA clone 3230402N12 3', mRNA sequence.",,
1436688_x_at,426.3079,Rpl14,AV150377,null,Ribosomal protein L14,,
1447883_x_at,417.0953,Wnt10b,BB299566,null,"BB299566 RIKEN full?length enriched, adult male corpora quadrigemina Mus musculus cDNA clone B230009G14 3', mRNA sequence.",,
1416219_at,409.0703,Rpl19,NM_009078,Rpl19,ribosomal protein L19,,
1416546_a_at,403.179,MGC117949,NM_011290,Rpl6,ribosomal protein L6,,
1453467_s_at,400.9923,Nudcd3,BM207059,null,NudC domain containing 3,,
1415879_a_at,398.9258,2700049I22Rik,BC012413,Rplp2,"ribosomal protein, large P2",,
1437807_x_at,380.3004,Catna1,BB066232,Ctnna1,"BB066232 RIKEN full?length enriched, cDNA clone 8030448P13 3' similar to cadherin?associated protein (CAP102/alpha catenin)",,
1460198_a_at,378.752,C10?II,BC014783,Psmb3,"proteasome (prosome, macropain) subunit, beta type 3",,
1416767_a_at,377.8997,MGC7185,NM_1336971110003E01RIKEN cDNA 1110003E01 gene,Smim14,null,,
1434437_x_at,377.1425,Rrm2,AV301324,null,"AV301324 RIKEN full?length enriched, 8 days embryo cDNA clone 5730492P22 3' similar to ribonucleo(de reductase M2 subunit",,
1449243_a_at,376.9204,MGC107694,NM_023133,Rps19,ribosomal protein S19,,
1459976_s_at,371.9663,Sod1,AV261043,null,"AV261043 RIKEN full?length enriched, adult male tes(s cDNA clone 4930417H03 3' similar to Cu?Zn superoxide dismutase",,
1460590_s_at,368.7901,Hspa8,BB422130,null,"BB422130 RIKEN full?length enriched, 12 days embryo spinal cord cDNA clone C530029M22 3' similar to 14?3?3 protein theta?subtype",,
1436586_x_at,363.3985,AL023078,BE368859,Rps14,ribosomal protein S14,,
1436762_x_at,357.7664,Fkbp1a,BB251911,null,"BB251911 RIKEN full?length enriched, 7 days neonate cerebellum Mus musculus cDNA clone A730048K13 3', mRNA sequence.",,
1423798_a_at,356.7598,MGC6503,BI693609,Eif1,eukaryo(c transla(on ini(a(on factor 1,,
1427048_at,356.5334,bnb,AW555326 ,Smo,smoothened homolog (Drosophila),,
1447625_at,352.8073,E2f5,BB286270,null,"BB286270 RIKEN full?length enriched, 2 cells egg Mus musculus cDNA clone B020011L17 3' similar to transcrip(on factor E2F?5",,
1437706_x_at,351.4799,Rps14,AW548239,null,"L0033D09?3 NIA Mouse E12.5 Female Mesonephros and Gonads cDNA Library Mus musculus cDNA clone L0033D09 3', mRNA sequence.",,
1435395_s_at,351.1632,Atp5j2,BG794445,Atp5mf,"ATP synthase, H+ transpor(ng, mitochondrial F0 complex, subunit f, isoform 2",,
1451294_s_at,334.7187,SME,BC008262,Snrpe,small nuclear ribonucleoprotein E,,
1423896_a_at,333.2995,AB030190,AW488376 ,Rnf187,ring finger protein 187,,
1420642_a_at,325.5042,Romo1,NM_0259462010100O1 RIKEN cDNA 2010100O12 gene,null,null,,
1415849_s_at,321.32,19K,BC010581,Stmn1,stathmin 1,,
1435613_x_at,321.1843,Cox5b,AV023206,null,"Cytochrome c oxidase, subunit Vb",,
1456253_s_at,320.5583,Klhl17,BB448454,null,Kelch?like 17 (Drosophila),,
1438958_x_at,320.2426,Fkbp1a,BB058341,null,"BB058341 RIKEN full?length enriched, 2 days sympathe(c ganglion cDNA clone 7120478O14 3' similar to FK506?binding protein",,
1455168_a_at,316.3022,p205; Rack1,BM210111 ,Rack1,"guanine nucleo(de binding protein (G protein), beta polypep(de 2 like 1",,
1456196_x_at,315.6538,Fkbp1a,AV038603,null,"AV038603 Mus musculus adult C57BL/6J placenta Mus musculus cDNA clone 1600030J05, mRNA sequence.",,
1438563_s_at,311.9778,Mrps24,AV069725,null,"AV069725 Mus musculus small intes(ne C57BL/6J adult Mus musculus cDNA clone 2010312F15, mRNA sequence.",,
1456728_x_at,310.6866,Aco1,BB504570,null,"BB504570 RIKEN full?length enriched, 0 day neonate kidney cDNA 3' similar to iron responsive element binding protein",,
1448264_a_at,309.5112,36kDa; Trip1,NM_018799,Eif3i,"eukaryo(c transla(on ini(a(on factor 3, subunit 2 (beta)",,
1435630_s_at,306.1523,Htra2,AV148646,null,"AV148646 Mus musculus C57BL/6J 10?11 day embryo Mus musculus cDNA clone 2810480N06, mRNA sequence.",,
1424251_a_at,297.6546,JKTBP,BC021374,Hnrnpdl,heterogeneous nuclear ribonucleoprotein D?like,,
1416243_a_at,293.2566,2410039E09Rik,NM_025592,Rpl35,ribosomal protein L35,,
1455789_x_at,291.7903,Hspa8,BB453676,null,"BB453676 RIKEN full?length enriched, 12 days embryo spinal ganglion Mus musculus cDNA clone D130026G11 3', mRNA sequence.",,
1452285_a_at,290.9554,AA409853,AK002778,Eif3f,"eukaryo(c transla(on ini(a(on factor 3, subunit 5 (epsilon)",,
1447917_x_at,290.0857,Ntan1,BB303908,null,N?terminal Asn amidase,,
1455997_a_at,289.1694,Uqcrb,AV214853,null,"AV214853 RIKEN full?length enriched, ES cells cDNA clone 2410141M17 3' similar to Human mitochondrial ubiquinone?binding protein",,
1423188_a_at,284.2741,AW011779,BI456243,Brk1,6720456B07RIKEN cDNA 6720456B07 gene,,
1460175_at,282.6119,2410044J15Rik,NM_024175,Rps23,ribosomal protein S23,,
1419441_at,282.0889,36B4; Arbp,NM_007475,Rplp0,acidic ribosomal phosphoprotein P0,,
1434325_x_at,279.2373,Prkar1b,BB274009,null,"BB274009 RIKEN full?length enriched, 10 days neonate cortex Mus musculus cDNA clone A830086C24 3', mRNA sequence.",,
1455126_x_at,279.1104,2310028O11Rik,AV209841,Micos10,RIKEN cDNA 2310028O11 gene,,
1421772_a_at,274.4391,EB1,NM_009187,Cox7a2l,cytochrome c oxidase subunit VIIa polypep(de 2?like,,
1418364_a_at,273.5225,Ftl,NM_010240,Ftl1,ferri(n light chain 1,,
1438928_x_at,271.2902,Psap,BB252065,null,"BB252065 RIKEN full?length enriched, 7 days neonate cerebellum cDNA clone 3' similar to U91513 adhesion molecule ninjurin mRNA",,
1437336_x_at,270.579,1110002E23Rik,AV051733,Tomm6,RIKEN cDNA 1110002E23 gene,,
1438503_x_at,268.3348,Cd40,AV102509,null,"AV102509 Mus musculus C57BL/6J ES cell Mus musculus cDNA clone 2410098K03, mRNA sequence.",,
1416453_x_at,267.6158,MGC102111,NM_011295,Rps12,ribosomal protein S12,,
1419734_at,266.9232,beta?ac;n,NM_007393,Actb,"ac(n, beta, cytoplasmic",,
1455742_x_at,266.5154,Lcor,BE197350,null,Ligand dependent nuclear receptor corepressor,,
1436419_a_at,262.6217,1700097N02Rik,AA266367,null,1700097N02RIKEN cDNA 1700097N02 gene,,
1423391_at,262.3745,KIAA0148,BB760902,Git2,G protein?coupled receptor kinase?interactor 2,,
1416177_at,259.468,Hnrpg,NM_009033Rbmxrt,Rbmxl1,"RNA binding mo(f protein, X chromosome retrogene",,
1450720_at,247.0387,Acp?1,AW554436 ,Acp1,"acid phosphatase 1, soluble",,
1416519_at,245.0835,Sumf1,NM_018730,Rpl36,ribosomal protein L36,,
1433447_x_at,243.8447,Cct4,AI607417,null,Chaperonin subunit 4 (delta),,
1438092_x_at,242.6504,H2afz,AV003424,H2az1,"H2A histone family, member Z",,
1423696_a_at,236.6211,2400006A19Rik,BC006869,Psmd6,"proteasome (prosome, macropain) 26S subunit, non?ATPase, 6",,
1426162_a_at,233.6031,Rpl7a,M85235,Rpl7,ribosomal protein L7,,
1439374_x_at,231.5689,Rps10,AV110855,null,Ribosomal protein S10,,
1439432_x_at,225.2049,Sepp1,AV122231,Selenop,"AV122231 Mus musculus C57BL/6J 10?day embryo Mus musculus cDNA clone 2610511M23, mRNA sequence.",,
1434499_a_at,222.9286,Ldhb,AV219418,null,Lactate dehydrogenase B,,
1456628_x_at,216.1834,Rps24,AV111319,null,Ribosomal protein S24,,
1439266_a_at,215.0841,Polr3k,AV260647,null,Polymerase (RNA) III (DNA directed) polypep(de K,,
1417762_a_at,213.5161,Rpl8,NM_012053,Rpl8,ribosomal protein L8,,
1456588_x_at,211.0065,Ppia,AV218207,null,"AV218207 RIKEN full?length enriched, adult male hippocampus cDNA clone 3' similar to mitochondrial cytochrome c oxidase subunit Vb",,
1430288_x_at,210.4273,MGC107620,AK007850,Rps21,ribosomal protein S21,,
1438091_a_at,208.0613,H2afz,AV003424,H2az1,"H2A histone family, member Z",,
1426765_at,206.2567,mU3,AK009274,Commd7,COMM domain containing 7,,
1435643_x_at,205.6432,Ubb2; AL033289,BQ042894,Ubb,ubiqui(n B,,
1435725_x_at,205.3137,Rpl12,C77643,null,Ribosomal protein L12,,
1436298_x_at,203.8512,Klf5,BB066556,null,"BB066556 RIKEN full?length enriched, 15 days embryo male tes(s Mus musculus cDNA clone 8030453B17 3', mRNA sequence.",,
1456743_x_at,200.6351,Morf4l2,BB068032,null,Mortality factor 4 like 2,,
1439268_x_at,196.4191,Eif3s6,BB032885,Eif3e,"Transcribed locus, weakly similar to XP_360774.1",,
1417451_a_at,195.7129,Cphn,NM_008907,Ppia,pep(dylprolyl isomerase A,,
1417368_s_at,192.82,B8,NM_010885,Ndufa2,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2",,
1456497_x_at,190.4785,MGC107635,BI900577,Rps10,ribosomal protein S10,,
1436838_x_at,190.3896,Cotl1,BB160417,null,"BB160417 RIKEN full?length enriched, 16 days neonate thymus Mus musculus cDNA clone A130053B20 3', mRNA sequence.",,
1433928_a_at,186.6646,Rpl13a,BF146301,null,Ribosomal protein L13a,,
1437450_x_at,185.9733,2700060E02Rik,AV167877,Rtraf,RIKEN cDNA 2700060E02 gene,,
1416565_at,184.8974,Cox6b,NM_025628,Cox6b1,"cytochrome c oxidase, subunit VIb polypep(de 1",,
1438984_x_at,183.4814,Psmb4,AV212146,null,"Proteasome (prosome, macropain) subunit, beta type 4",,
1435413_x_at,181.231,Tef,AV167958,null,"AV167958 Mus musculus head C57BL/6J 13?day embryo Mus musculus cDNA clone 3110059K19, mRNA sequence.",,
1417102_a_at,180.3429,SGDH,BC025155,Ndufb5,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5",,
1455855_x_at,174.0952,Hnrpab,BB168316,Hnrnpab,Heterogeneous nuclear ribonucleoprotein A/B,,
1416765_s_at,171.044,Magmas,NM_025571,Pam16,mitochondria?associated protein involved in granulocyte?macrophage colony?s(mula(ng factor signal transduc(on,,
1419920_s_at,170.8649,Usp7,AW548146,null,Ubiqui(n specific pep(dase 7,,
1416606_s_at,170.7503,Nhp2,BC024944 Nola2,Nhp2,"nucleolar protein family A, member 2",,
1436991_x_at,169.9141,Gsn,AV025559,null,Gelsolin,,
1433822_x_at,167.5207,Anapc5,AI842295,null,Anaphase?promo(ng complex subunit 5,,
1456205_x_at,166.1968,Tbca,BB559082,null,Tubulin cofactor a,,
1420965_a_at,165.1044,Nrpb; PIG10,BM120053 ,Enc1,ectodermal?neural cortex 1,,
1418624_at,164.508,EF1A,BC013620,Ybx1,Y box protein 1,,
1428258_at,163.9004,AU043134,BG795140,Atp5mj,2010107E04RIKEN cDNA 2010107E04 gene,,
1438625_s_at,161.8432,Pctk1,BB249447,Cdk16,"BB249447 RIKEN full?length enriched, 7 days neonate cerebellum cDNA clone similar to PCTAIRE?1 mRNA encoding protein kinase",,
1455222_a_at,160.9865,Ubp1,BB550053,null,Upstream binding protein 1,,
1435859_x_at,160.5243,Psmc2,AV263662,null,"Proteasome (prosome, macropain) 26S subunit, ATPase 2",,
1455036_s_at,158.7045,Ndufc2,AV124743,null,"Transcribed locus, moderately similar to NP_001009290.1",,
