id_Symbol,id_Entrez,id_OMIM,id_humanID,id_HPRD,id_HGNC,id_Chromosome location,id_hPSD,id_Gene group,id_Main class,id_Accompanying phenotype,id_Inheritance pattern,id_Inheritance type,id_Limited confidence criterion,id_Disease type,id_Disease subtype,id_Haploinsufficiency,id_OMIM disease,id_Gene ontology-based annotation,id_Screened wing,id_Screened neuronal
ACTB,60,102630,ENSG00000075624,32,132,7p22,1,ID data freeze 650,"1, 7","A, B, E, L1, T, Ub",Mendelian autosomal,dominant,0; 1,"BARAITSER-WINTER SYNDROME; DYSTONIA, JUVENILE-ONSET","BARAITSER-WINTER SYNDROME 1; BRWS1; DYSTONIA, JUVENILE-ONSET",0,243310; 607371,"chromatin, nervous system development, synapse, transporters, vesicle transport",0,0
ACTG1,71,102560,ENSG00000184009,17,144,17q25,0,ID data freeze 650,1,"A, B, E, L1, T, Ub",Mendelian autosomal,dominant,0,"BARAITSER-WINTER SYNDROME; DEAFNESS, AUTOSOMAL DOMINANT","BARAITSER-WINTER SYNDROME 2; BRWS2; DEAFNESS, AUTOSOMAL DOMINANT 20; DFNA20",0,614583; 604717,"actin, nervous system development, transporters, vesicle transport",0,0
ACVR1,90,102576,ENSG00000115170,21,171,2q23-q24,0,ID data freeze 388,7,"A, Ub",Mendelian autosomal,dominant,0,FIBRODYSPLASIA OSSIFICANS PROGRESSIVA,FIBRODYSPLASIA OSSIFICANS PROGRESSIVA; FOP,0,135100,"BMP signaling, cell cycle, metabolism, response to growth factor, RNA metabolism, transcription",1,1
ADAR,103,146920,ENSG00000160710,7528,225,1q21.3,0,ID data freeze 650,"2, 8b","(C), I, L2",Mendelian autosomal,recessive; dominant,0,AICARDI-GOUTIERES SYNDROME; DYSCHROMATOSIS SYMMETRICA HEREDITARIA,AICARDI-GOUTIERES SYNDROME 6; AGS6; DYSCHROMATOSIS SYMMETRICA HEREDITARIA 1,0; 1,615010; 127400,"metabolism, protein transport, RNA metabolism, transporters",0,0
ADCK3,56997,606980,ENSG00000163050,7375,16812,1q42.13,0,ID data freeze 388,8b,"C, E, G, H, L2, M, Q",Mendelian autosomal,recessive,0,PRIMARY COENZYME Q10 DEFICIENCY,"COENZYME Q10 DEFICIENCY, PRIMARY, 4; COQ10D4",0,612016,mitochondria,1,1
ADK,132,102750,ENSG00000156110,39,257,10q22|10q11-q24,0,ID data freeze 650,"2, 6","E, F, G, M, P, V",Mendelian autosomal,recessive,1,HYPERMETHIONINEMIA DUE TO ADENOSINE KINASE DEFICIENCY; non-syndromic ID,HYPERMETHIONINEMIA DUE TO ADENOSINE KINASE DEFICIENCY; non-syndromic ID,0,614300,metabolism,0,0
ADNP,23394,611386,ENSG00000101126,9793,15766,20q13.13,0,ID data freeze 650,5,"A, (E), (H), (N), P, (V)",Mendelian autosomal,dominant,0,autism spectrum disorder,autism spectrum disorder,0,NULL,"chromatin, RNA metabolism, transcription",0,0
ADRA2B,151,104260,ENSG00000222040,86,282,2q11.1,0,ID data freeze 650,6,NULL,Mendelian autosomal,recessive,1,non-syndromic ID,non-syndromic ID,0,NULL,"MAPK signaling, metabolism, nervous system development, transporters",0,0
ADSL,158,608222,ENSG00000239900,49,291,22q13.2,0,ID data freeze 388,5,"E, M, P",Mendelian autosomal,recessive,0,ADENYLOSUCCINASE DEFICIENCY,ADENYLOSUCCINASE DEFICIENCY,0,103050,mitochondria,1,1
AFF2,2334,300806,ENSG00000155966,2397,3776,Xq28,0,ID data freeze 388,6,P,Mendelian X-linked,not sure,0,"MENTAL RETARDATION, X-LINKED","MENTAL RETARDATION, X-LINKED, ASSOCIATED WITH FRAGILE SITE FRAXE",0,309548,"metabolism, nervous system development, RNA metabolism",1,1
AGA,175,613228,ENSG00000038002,1949,318,4q34.3,0,ID data freeze 388,8b,"(C), G, H, M, (S)",Mendelian autosomal,recessive,0,ASPARTYLGLUCOSAMINURIA,ASPARTYLGLUCOSAMINURIA; AGU,0,208400,NULL,0,0
AGPAT2,10555,603100,ENSG00000169692,4373,325,9q34.3,0,ID data freeze 388,8a,"K, M, Q",Mendelian autosomal,recessive,0,"LIPODYSTROPHY, CONGENITAL GENERALIZED","LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 1; CGL1",0,608594,NULL,0,0
AGTR2,186,300034,ENSG00000180772,2071,338,Xq22-q23,0,ID data freeze 388,3,"E, (P)",Mendelian X-linked,recessive,1,"MENTAL RETARDATION, X-LINKED","MENTAL RETARDATION, X-LINKED 88; MRX88",0,300852,"metabolism, nervous system development, protein transport, response to growth factor, RNA metabolism, transcription, transporters, vesicle transport",0,0
AHCY,191,180960,ENSG00000101444,1621,343,20q11.22,1,ID data freeze 388,5,"H, (L2), M, (Q)",Mendelian autosomal,recessive,1,HYPERMETHIONINEMIA WITH S-ADENOSYLHOMOCYSTEINE HYDROLASE DEFICIENCY,HYPERMETHIONINEMIA WITH S-ADENOSYLHOMOCYSTEINE HYDROLASE DEFICIENCY,0,613752,NULL,1,1
AHI1,54806,608894,ENSG00000135541,10597,21575,6q23.3,0,ID data freeze 388,4,"H, L1, O, T, W",Mendelian autosomal,recessive,0,JOUBERT SYNDROME,JOUBERT SYNDROME 3; JBTS3,0,608629,"centrosome, Cilia, metabolism, microtubule, nervous system development, RNA metabolism, transcription, transporters, vesicle transport",0,0
AIFM1,9131,310490,ENSG00000156709,2161,8768,Xq26.1,0,ID data freeze 650,"5, 8b","C, E, G, H, L2, M",Mendelian X-linked,not sure,1,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY; COWCHOCK SYNDROME,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 6; COXPD6; COWCHOCK SYNDROME; COWCK,0,300816; 310490,"metabolism, mitochondria, nervous system development",0,0
AIMP1,9255,603605,ENSG00000164022,4676,10648,4q24,0,ID data freeze 650,2,"B, G, H, L2",Mendelian autosomal,recessive,1,"LEUKODYSTROPHY, HYPOMYELINATING","LEUKODYSTROPHY, HYPOMYELINATING, 3; HLD3",0,260600,"RNA metabolism, vesicle transport",0,0
AK1,203,103000,ENSG00000106992,46,361,9q34.1,1,ID data freeze 388,8a,"M, R",Mendelian autosomal,recessive,0,HEMOLYTIC ANEMIA DUE TO ADENYLATE KINASE DEFICIENCY,HEMOLYTIC ANEMIA DUE TO ADENYLATE KINASE DEFICIENCY,0,612631,"cell cycle, Cilia",1,1
AKT3,10000,611223,ENSG00000117020,6441,393,1q44,0,ID data freeze 650,4,"F, L1, Ua",Mendelian autosomal,dominant,0,MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS SYNDROME,MEGALENCEPHALY-POLYMICROGYRIA-POLYDACTYLY-HYDROCEPHALUS SYNDROME; MPPH,0,603387,NULL,0,0
ALDH18A1,5832,138250,ENSG00000059573,696,9722,10q24.3,0,ID data freeze 388,5,"A, H, (M), S, T",Mendelian autosomal,recessive,0,CUTIS LAXA,"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIIA; ARCL3A",0,219150,mitochondria,1,1
ALDH3A2,224,609523,ENSG00000072210,7188,403,17p11.2,1,ID data freeze 388,2,"A, E, H, M, S, T",Mendelian autosomal,recessive,0,SJOGREN-LARSSON SYNDROME,SJOGREN-LARSSON SYNDROME; SLS,0,270200,"mitochondria, nervous system development, peroxisome",1,1
ALDH5A1,7915,610045,ENSG00000112294,8361,408,6p22,1,ID data freeze 388,5,"E, H, L2, M, P",Mendelian autosomal,recessive,0,SUCCINIC SEMIALDEHYDE DEHYDROGENASE DEFICIENCY,SUCCINIC SEMIALDEHYDE DEHYDROGENASE DEFICIENCY; SSADHD,0,271980,"mitochondria, nervous system development, synapse, transporters",1,1
ALG1,56052,605907,ENSG00000033011,10437,18294,16p13.3,0,ID data freeze 388,2,"B, C, E, J, L2, M, (Q), R, W",Mendelian autosomal,recessive,1,CONGENITAL DISORDER OF GLYCOSYLATION,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IK; CDG1K",0,608540,glycosylation,1,1
ALG12,79087,607144,ENSG00000182858,6189,19358,22q13.33,0,ID data freeze 388,2,"B, E, H, J, M, R, V",Mendelian autosomal,recessive,0,CONGENITAL DISORDER OF GLYCOSYLATION,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IG; CDG1G",0,607143,glycosylation,1,1
ALG13,79868,300776,ENSG00000101901,6542,30881,Xq23,0,ID data freeze 650,2,E,Mendelian X-linked,not sure,1,CONGENITAL DISORDER OF GLYCOSYLATION,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iw; CDG1W",0,615596,glycosylation,0,0
ALG2,85365,607905,ENSG00000119523,9716,23159,9q22.33,0,ID data freeze 388,2,"E, M, T",Mendelian autosomal,recessive,1,CONGENITAL DISORDER OF GLYCOSYLATION,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE II; CDG1I",0,607906,glycosylation,1,1
ALG3,10195,608750,ENSG00000214160,3067,23056,3q27.1,0,ID data freeze 388,2,"B, E, L2, M, T",Mendelian autosomal,recessive,1,CONGENITAL DISORDER OF GLYCOSYLATION,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE ID; CDG1D",0,601110,glycosylation,0,0
ALG6,29929,604566,ENSG00000088035,5194,23157,1p31.3,0,ID data freeze 388,5,"E, H, K, M, T",Mendelian autosomal,recessive,0,CONGENITAL DISORDER OF GLYCOSYLATION,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IC; CDG1C",0,603147,glycosylation,1,1
ALG9,79796,606941,ENSG00000086848,9504,15672,11q23,0,ID data freeze 388,5,"B, E, H, M",Mendelian autosomal,recessive,1,CONGENITAL DISORDER OF GLYCOSYLATION,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IL; CDG1L",0,608776,glycosylation,1,1
AMT,275,238310,ENSG00000145020,1997,473,3p21.2-p21.1,0,ID data freeze 388,8b,"C, E, (G), H, M",Mendelian autosomal,recessive,0,GLYCINE ENCEPHALOPATHY,GLYCINE ENCEPHALOPATHY; GCE,0,605899,mitochondria,1,1
ANK3,288,600465,ENSG00000151150,2715,494,10q21,1,ID data freeze 650,5,"H, P",Mendelian autosomal,recessive,1,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE","MENTAL RETARDATION, AUTOSOMAL RECESSIVE 37; MRT37",0,615493,"cell cycle, ion transport, metabolism, nervous system development, protein transport, synapse, transporters, vesicle transport",0,0
ANKH,56172,605145,ENSG00000154122,5509,15492,5p15.1,0,ID data freeze 650,5,"K, Ub",Mendelian autosomal,recessive; dominant,1; 0,"MENTAL RETARDATION, DEAFNESS, ANKYLOSIS, AND MILD HYPOPHOSPHATEMIA; CRANIOMETAPHYSEAL DYSPLASIA; CHONDROCALCINOSIS","MENTAL RETARDATION, DEAFNESS, ANKYLOSIS, AND MILD HYPOPHOSPHATEMIA; CRANIOMETAPHYSEAL DYSPLASIA; CHONDROCALCINOSIS 2",0,123000; 118600,transporters,0,0
ANKRD11,29123,611192,ENSG00000167522,12456,21316,16q24.3,0,ID data freeze 650,5,"A, Ub, W",Mendelian autosomal,dominant,0,KBG SYNDROME,KBG SYNDROME; KBGS,0,148050,NULL,0,0
ANO10,55129,613726,ENSG00000160746,7667,25519,3p22.1,0,ID data freeze 388,8a,"G, L2, N, Q",Mendelian autosomal,recessive,1,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE","SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 10; SCAR10",0,613728,"ion transport, transporters",1,1
AP1S1,1174,603531,ENSG00000106367,4635,559,7q22.1,1,ID data freeze 388,2,"C, H, (M), O, S",Mendelian autosomal,recessive,0,"MENTAL RETARDATION, ENTEROPATHY, DEAFNESS, PERIPHERAL NEUROPATHY, ICHTHYOSIS, AND KERATODERMA","MENTAL RETARDATION, ENTEROPATHY, DEAFNESS, PERIPHERAL NEUROPATHY, ICHTHYOSIS, AND KERATODERMA; MEDNIK",0,609313,"protein transport, transporters, vesicle transport",1,1
AP1S2,8905,300629,ENSG00000182287,4636,560,Xp22.2,0,ID data freeze 388,6,"(L), P",Mendelian X-linked,recessive,0,"MENTAL RETARDATION, X-LINKED, SYNDROMIC","MENTAL RETARDATION, X-LINKED, SYNDROMIC, FRIED TYPE; MRXSF",0,300630,"protein transport, transporters, vesicle transport",1,1
AP3B1,8546,603401,ENSG00000132842,4551,566,5q14.1,1,ID data freeze 388,8a,"J, R, T",Mendelian autosomal,recessive,0,HERMANSKY-PUDLAK SYNDROME,HERMANSKY-PUDLAK SYNDROME 2; HPS2,0,608233,"MT transport, protein transport, synapse, transporters, vesicle transport",1,1
AP4B1,10717,607245,ENSG00000134262,6259,572,1p13.2,0,ID data freeze 650,2,"A, B, H, P",Mendelian autosomal,recessive,0,"SPASTIC PARAPLEGIA, AUTOSOMAL RECESSIVE","SPASTIC PARAPLEGIA 47, AUTOSOMAL RECESSIVE; SPG47",0,614066,"protein transport, transporters, vesicle transport",0,0
AP4E1,23431,607244,ENSG00000081014,6258,573,15q21.2,0,ID data freeze 650,2,"A, B, H, P",Mendelian autosomal,recessive,0,"SPASTIC PARAPLEGIA, AUTOSOMAL RECESSIVE","SPASTIC PARAPLEGIA 51, AUTOSOMAL RECESSIVE; SPG51",0,613744,"protein transport, transporters, vesicle transport",0,0
AP4M1,9179,602296,ENSG00000221838,3803,574,7q22.1,0,ID data freeze 650,2,"B, H, (L2)",Mendelian autosomal,recessive,0,"SPASTIC PARAPLEGIA, AUTOSOMAL RECESSIVE","SPASTIC PARAPLEGIA 26, AUTOSOMAL RECESSIVE; SPG26",0,609195,"protein transport, transporters, vesicle transport",0,0
AP4S1,11154,607243,ENSG00000100478,6257,575,14q12,0,ID data freeze 650,2,"A, B, H, P",Mendelian autosomal,recessive,0,"SPASTIC PARAPLEGIA, AUTOSOMAL RECESSIVE","SPASTIC PARAPLEGIA 52, AUTOSOMAL RECESSIVE; SPG52",0,614067,transporters,0,0
APTX,54840,606350,ENSG00000137074,5892,15984,9p13.3,0,ID data freeze 388,5,"G, H, L2",Mendelian autosomal,recessive,0,"ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA","ATAXIA, EARLY-ONSET, WITH OCULOMOTOR APRAXIA AND HYPOALBUMINEMIA; EAOH",0,208920,"chromatin, DNA repair, metabolism",1,0
ARFGEF2,10564,605371,ENSG00000124198,9250,15853,20q13.13,1,ID data freeze 388,2,"B, (E), (H), (J), L2",Mendelian autosomal,recessive,0,PERIVENTRICULAR HETEROTOPIA,"HETEROTOPIA, PERIVENTRICULAR, AUTOSOMAL RECESSIVE/PERIVENTRICULAR HETEROTOPIA WITH MICROCEPHALY",0,608097,"Cilia, MAPK signaling, metabolism, microtubule, small GTPase signaling, synapse, transporters, vesicle transport",1,1
ARHGEF6,9459,300267,ENSG00000129675,2226,685,Xq26.3,0,ID data freeze 388,6,NULL,Mendelian X-linked,recessive,1,"MENTAL RETARDATION, X-LINKED","MENTAL RETARDATION, X-LINKED 46; MRX46",0,300436,"MAPK signaling, metabolism, response to growth factor, small GTPase signaling",1,1
ARHGEF9,23229,300429,ENSG00000131089,2337,14561,Xq11.1,0,ID data freeze 650,2,"E, H",Mendelian X-linked,not sure,1,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 8; EIEE8",0,300607,"response to growth factor, small GTPase signaling, synapse, transporters",0,0
ARID1A,8289,603024,ENSG00000117713,4319,11110,1p35.3,0,ID data freeze 650,4,"A, J, L1, S",Mendelian autosomal,dominant,1,"MENTAL RETARDATION, AUTOSOMAL DOMINANT","MENTAL RETARDATION, AUTOSOMAL DOMINANT 14; MRD14",0,614607,"chromatin, metabolism, nervous system development, RNA metabolism, transcription",0,0
ARID1B,57492,614556,ENSG00000049618,10660,18040,6q25.1,0,ID data freeze 650,6,"A, U",Mendelian autosomal,dominant,0,"MENTAL RETARDATION, AUTOSOMAL DOMINANT","MENTAL RETARDATION, AUTOSOMAL DOMINANT 12; MRD12",0,614562,"chromatin, metabolism, nervous system development, RNA metabolism, transcription",0,0
ARL13B,200894,608922,ENSG00000169379,12334,25419,3q11.1,0,ID data freeze 388,4,"L1, (O), (T)",Mendelian autosomal,recessive,1,JOUBERT SYNDROME,JOUBERT SYNDROME 8; JBTS8,0,612291,"Cilia, hedgehog signaling, nervous system development, small GTPase signaling",1,1
ARL14EP,120534,612295,ENSG00000152219,8796,26798,11p14.1,0,ID data freeze 650,6,NULL,Mendelian autosomal,recessive,1,non-syndromic ID,non-syndromic ID,0,NULL,NULL,0,0
ARL6,84100,608845,ENSG00000113966,10588,13210,3q11.2,0,ID data freeze 388,4,"K, N, P, T, Ua, W",Mendelian autosomal,recessive,0,BARDET-BIEDL SYNDROME; RETINITIS PIGMENTOSA,"BARDET-BIEDL SYNDROME 6, BBS6; RETINITIS PIGMENTOSA 55; RP55",0,209900; 613575,"Cilia, microtubule, protein transport, small GTPase signaling, transporters, Wnt signaling",1,1
ARX,170302,300382,ENSG00000004848,2307,18060,Xp21.3,0,ID data freeze 388,"1, 2, 3, 5","C, E, H, L, L1, L2",Mendelian X-linked,recessive,0,"MENTAL RETARDATION, X-LINKED; EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE; PARTINGTON X-LINKED MENTAL RETARDATION SYNDROME; CORPUS CALLOSUM, AGENESIS OF, WITH ABNORMAL GENITALIA; LISSENCEPHALY","MENTAL RETARDATION, X-LINKED, WITH OR WITHOUT SEIZURES, ARX-RELATED; MRXARX; EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 1; EIEE1; PARTINGTON X-LINKED MENTAL RETARDATION SYNDROME; PRTS; CORPUS CALLOSUM, AGENESIS OF, WITH ABNORMAL GENITALIA; LISSENCEPHALY, X-LINKED, 2; LISX2",0,300419; 308350; 309510; 300004; 300215,"chromatin, nervous system development, RNA metabolism, transcription",1,1
ASCC3,10973,614217,ENSG00000112249,16805,18697,6q16,0,ID data freeze 650,6,NULL,Mendelian autosomal,recessive,1,non-syndromic ID,non-syndromic ID,0,NULL,"DNA repair, metabolism, RNA metabolism, transcription",0,0
ASCL1,429,100790,ENSG00000139352,11,738,12q23.2,0,ID data freeze 650,6,NULL,Mendelian autosomal,recessive; dominant,1; 0,"non-syndromic ID; CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL","non-syndromic ID; CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL; CCHS",0,209880,"cell cycle, metabolism, nervous system development, response to growth factor, RNA metabolism, transcription",0,0
ASL,435,608310,ENSG00000126522,1948,746,7q11.21,0,ID data freeze 388,8a,"E, H, M, P, S",Mendelian autosomal,recessive,0,"UREA CYCLE DISORDERS, ARGININOSUCCINIC ACIDURIA",ARGININOSUCCINIC ACIDURIA,0,207900,NULL,1,1
ASPA,443,608034,ENSG00000108381,2033,756,17p13.3,0,ID data freeze 388,"2, 5","C, F, G, H, L2, M",Mendelian autosomal,recessive,0,CANAVAN DISEASE,CANAVAN DISEASE,0,271900,nervous system development,0,0
ASPM,259266,605481,ENSG00000066279,8384,19048,1q31,0,ID data freeze 388,5,"B, (L2)",Mendelian autosomal,recessive,0,"MICROCEPHALY, PRIMARY, AUTOSMAL RECESSIVE","MICROCEPHALY 5, PRIMARY, AUTOSOMAL RECESSIVE; MCPH5",0,608716,"cell cycle, centrosome, microtubule, nervous system development, Wnt signaling",1,1
ASXL1,171023,612990,ENSG00000171456,16516,18318,20q11,0,ID data freeze 650,1,"A, C, E, J, S, U, X",Mendelian autosomal,dominant,0,BOHRING-OPITZ SYNDROME,BOHRING-OPITZ SYNDROME; BOPS,0,605039,"chromatin, metabolism, RNA metabolism, transcription",0,0
ATP1A2,477,182340,ENSG00000018625,1665,800,1q23.2,1,ID data freeze 388,5,"E, G, H",Mendelian autosomal,dominant,0,"ALTERNATING HEMIPLEGIA OF CHILDHOOD; MIGRAINE, FAMILIAL HEMIPLEGIC","ALTERNATING HEMIPLEGIA OF CHILDHOOD 1; AHC1; MIGRAINE, FAMILIAL HEMIPLEGIC, 2; FHM2",1,104290; 602481,"cardiac muscle contraction, ion transport, synapse, transporters",1,1
ATP2A2,488,108740,ENSG00000174437,161,812,12q24.11,1,ID data freeze 388,8a,S,Mendelian autosomal,dominant,0,DARIER-WHITE DISEASE; ACROKERATOSIS VERRUCIFORMIS,DARIER-WHITE DISEASE; DAR; ACROKERATOSIS VERRUCIFORMIS; AKV,1,124200; 101900,"ion transport, transporters",1,1
ATP6AP2,10159,300556,ENSG00000182220,6454,18305,Xp11.4,0,ID data freeze 388,6,"E, (H)",Mendelian X-linked,recessive,1,"MENTAL RETARDATION, X-LINKED, SYNDROMIC","MENTAL RETARDATION, X-LINKED, SYNDROMIC, HEDERA TYPE; MRXSH",0,300423,"MAPK signaling, metabolism",1,1
ATP6V0A2,23545,611716,ENSG00000185344,16521,18481,12q24.31,0,ID data freeze 388,"1, 5","E, G, H, L1, L2, S, T",Mendelian autosomal,recessive,0,"CUTIS LAXA, AUTOSOMAL RECESSIVE; WRINKLY SKIN SYNDROME","CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIA; ARCL2A; WRINKLY SKIN SYNDROME; WSS; CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIA; ARCL2A; WRINKLY SKIN SYNDROME; WSS",0,219200; 278250,"ion transport, transporters",1,1
ATP7A,538,300011,ENSG00000165240,2054,869,Xq21.1,0,ID data freeze 388,"5, 8b","C, E, G, H, M, S",Mendelian X-linked,recessive,0,"MENKES DISEASE; OCCIPITAL HORN SYNDROME; SPINAL MUSCULAR ATROPHY, DISTAL, X-LINKED","MENKES DISEASE; OCCIPITAL HORN SYNDROME; OHS; SPINAL MUSCULAR ATROPHY, DISTAL, X-LINKED 3; SMAX3",0,309400; 304150; 300489,"ion transport, metabolism, mitochondria, nervous system development, transporters, vesicle transport",1,1
ATR,545,601215,ENSG00000175054,8369,882,3q23,0,ID data freeze 388,5,"A, B",Mendelian autosomal,recessive; dominant,1; 0,"SECKEL SYNDROME; CUTANEOUS TELANGIECTASIA AND CANCER SYNDROME, FAMILIAL","SECKEL SYNDROME 1; SCKL1; CUTANEOUS TELANGIECTASIA AND CANCER SYNDROME, FAMILIAL; FCTCS",0; 1,210600; 614564,"cell cycle, DNA repair, metabolism",1,1
ATRX,546,300032,ENSG00000085224,2069,886,Xq21.1,0,ID data freeze 388,2,"A, B, (E), H, K, R, U, W",Mendelian X-linked,recessive,0,"ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED","ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED; ATRX; MENTAL RETARDATION-HYPOTONIC FACIES SYNDROME, X-LINKED, 1; MRXHF1",0,301040; 309580,"chromatin, DNA repair, metabolism, mitochondria, nervous system development, RNA metabolism, transcription",1,1
AUH,549,600529,ENSG00000148090,8987,890,9q22.31,1,ID data freeze 388,5,"G, H, M",Mendelian autosomal,recessive,0,3-METHYLGLUTACONIC ACIDURIA,"3-METHYLGLUTACONIC ACIDURIA, TYPE I; MGCA1",0,250950,"mitochondria, RNA metabolism",1,1
AUTS2,26053,607270,ENSG00000158321,6276,14262,7q11.22,0,ID data freeze 650,4,"A, B, H, L1, P",Mendelian autosomal,dominant,0,SYNDROMIC FORM OF INTELLECTUAL DISABILITY,SYNDROMIC FORM OF INTELLECTUAL DISABILITY,0,NULL,NULL,0,0
B3GALNT2,148789,610194,ENSG00000162885,16533,28596,1q42.3,0,ID data freeze 650,1,"H, L1, Q, T",Mendelian autosomal,recessive,0,MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES),"MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 11; MDDGA11",0,615181,glycosylation,0,0
B3GALTL,145173,610308,ENSG00000187676,12513,20207,13q12.3,0,ID data freeze 388,4,"A, T, Uc, V",Mendelian autosomal,recessive,0,PETERS-PLUS SYNDROME,PETERS-PLUS SYNDROME,0,261540,glycosylation,1,1
